period	d	order_id	product_id	qty	sales	deal_type	brand	sku	product_name
2026-09	2026-09-07	56123	40211	1	69.0000	installment	ULTIMATE	52992	TV Accessories/ Wall Brakets/ Ultimate  SL-400  26"-40"/66-102cm  Fixed Lockable TV Bracket  35kg 3.5mm(wall distance) VESA 200/400
2026-09	2026-09-07	56133	921	1	869.0000	installment	NINJA	NINJA-SL400EU	აეროგრილი NINJA SL400EU
2026-09	2026-09-07	56141	3745	1	999.0000	installment	DREAME	AMF18A	თმის სტაილერი Styler Dreame AirStyle Pro Gold Titanium (AMF18A)
2026-09	2026-09-07	56159	862	1	409.0000	installment	MIDEA	MIDEA-MF-CY110-A	აეროგრილი MIDEA MF-CY110A
2026-09	2026-09-07	56161	1190	1	519.0000	installment	MARAZZI	MARAZZI-D-E-1202	გაზის წყლის გამაცხელებელი MARAZZI  DE 1202
2026-09	2026-09-07	56174	789	1	139.0000	installment	FRANKO	FRANKO-FES-9006	მტვერსასრუტი FRANKO FES-9006
2026-09	2026-09-07	56174	41444	1	219.0000	installment	MIDEA	212678	ხელის ბლენდერი Midea MJ-BH1001W
2026-09	2026-09-07	56185	1566	1	299.0000	installment	MIDEA	MIDEA-M-F-C-Y-85-W-K-2	აეროგრილი MIDEA MF-CY85WK2
2026-09	2026-09-07	56185	648	1	99.0000	installment	MIDEA	MIDEA-MJ-BH4001W	ბლენდერი MIDEA MJ-BH4001W
2026-09	2026-09-07	56204	1663	1	1299.0000	installment	HISENSE	HISENSE-58E7Q	ტელევიზორი HISENSE 58E7Q
2026-09	2026-09-07	56223	66358	1	63.0000	installment		241025	ჭაღი Bella Mita 6410-3 3 E27 MAX 60W თეთრი
2026-09	2026-09-07	56223	67403	1	459.0000	installment		ECO	საწოლი ორ კაციანი ECO
2026-09	2026-09-07	56223	2128	1	629.0000	installment		Mattress-open-spring	მატრასი ღია ზამბარა 160/200
2026-09	2026-09-07	56241	932	1	389.0000	installment	FRANKO	FRANKO-FCO-9037	ელექტრო ღუმელი FRANKO FCO-9037
2026-09	2026-09-07	56254	40245	1	759.0000	installment	AKOG	102115	Heater/ Akog/ AKOG-4-SP (SIT) BLACK (40-50 კვ2)
